agrupacion_id,eleccion_id,nombre,agrupacioninterna
0337,3,AGRUPACION VECINAL JOSE HERNANDEZ-VECINOS                                                           ,
0373,3,UNIDOS POR SAN MARTIN                                                                               ,
0331,3,ACCION MARPLATENSE                                                                                  ,
0333,3,AGRUPACION ATLANTICA                                                                                ,
0347,3,ESPACIO UNION PRO                                                                                   ,
0361,3,NUEVO ENCUENTRO                                                                                     ,
0163,3,PARTIDO CONVERGENCIA DEMOCRATICA                                                                    ,
0349,3,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES                                                       ,
0348,3,FRENTE CIUDAD NUEVA                                                                                 ,
0360,3,NUEVA ALTERNATIVA CARMEÑA                                                                           ,
0352,3,JUNTOS POR DORREGO                                                                                  ,
0340,3,COMPROMISO PRINGLES                                                                                 ,
0351,3,INTEGRACION VECINALISTA ROSALEÑA                                                                    ,
0356,3,MERCEDES INDEPENDIENTE COMUNAL                                                                      ,
0345,3,CRECER                                                                                              ,
0369,3,UNA NUEVA OPORTUNIDAD SUARENSE                                                                      ,
0370,3,UNIDAD POR CHASCOMUS                                                                                ,
0346,3,DEFENSA COMUNAL DE GENERAL PAZ                                                                      ,
0350,3,INTEGRACION CIUDADANA                                                                               ,
0372,3,UNIDOS POR BAHIA (UPB)                                                                              ,
0380,3,VECINOS UNIDOS POR MORENO                                                                           ,
0338,3,AGRUPACION VECINAL UNION POR MORON                                                                  ,
0336,3,AGRUPACION RENOVACION SAN ISIDRO A.R.S.I                                                            ,
0341,3,CON VOCACION POR SAN ISIDRO                                                                         ,
0374,3,UNION VECINAL CONSERVADORA DE LOBOS                                                                 ,
0343,3,CONSTRUCCION SOCIAL PARTICIPATIVA                                                                   ,
0375,3,UNION VECINAL DE GONZALES CHAVES                                                                    ,
0355,3,MAREA POPULAR                                                                                       ,
0344,3,CORRIENTE DE UNIDAD SOCIAL Y POLITICA 6 DE DICIEMBRE                                                ,
0363,3,NUEVO ZARATE                                                                                        ,
0335,3,PRIMERO TRES LOMAS                                                                                  ,
0378,3,UNION VECINALISTA UNIDAD   PARA TODOS                                                               ,
0362,3,NUEVO SIGLO DE 25 DE MAYO                                                                           ,
0368,3,TODOS VECINOS                                                                                       ,
0379,3,VECINOS INDEPENDIENTES VICENTE LOPEZ  (VIVILO)                                                      ,
0358,3,MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ,
0365,3,PROPUESTA PINAMAR PROPIN                                                                            ,
0381,3,VIENTOS DEL SUR (VI-SUR)                                                                            ,
0357,3,MODELO VECINAL TENAZ                                                                                ,
0353,3,JUNTOS POR QUILMES                                                                                  ,
0330,3,ACCION COMUNAL DEL PARTIDO DE TIGRE                                                                 ,
0354,3,JUNTOS POR TIGRE                                                                                    ,
0377,3,UNION VECINAL DEL PARTIDO DE TRENQUE LAUQUEN                                                        ,
0359,3,MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS                                                      ,
0366,3,RIVADAVIA PRIMERO                                                                                   ,
0342,3,CONCORDANCIA APERTURISTA SALTENSE                                                                   ,
0332,3,ACCION POR VILLARINO                                                                                ,
0367,3,SAN FERNANDO PUEDE                                                                                  ,
0501,4,FRENTE PARA LA VICTORIA,
0503,4,UNION PRO,
0505,4,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,
0506,4,CAMINO POPULAR,
0014,4,PARTIDO OBRERO,
0519,4,UNION POR CHACO,
0003,4,UNION CIVICA RADICAL,
0068,4,NUEVA IZQUIERDA,
0545,4,ALIANZA UNION POR ENTRE RIOS,
0546,4,ALIANZA FRENTE AMPLIO PROGRESISTA,
0023,4,UNION POPULAR,
0040,4,MOVIMIENTO LIBRES DEL SUR,
0153,4,MOVIMIENTO POPULAR NEUQUINO,
0166,4,UNION DE LOS NEUQUINOS,
