distrito_id,seccion_id,circuito_id,nombre,municipio_id,eleccionorigen_id
4,13,00188,00188,,1
4,21,0316J,0316J,,1
4,26,00390,00390,,1
17,5,0022C,0022C,,1
2,71,00603,00603,,1
17,5,0021B,0021B,,1
11,2,00010,00010,,1
8,1,00006,00006,,1
13,1,00004,00004,,1
13,1,00005,00005,,1
2,6,00061,00061,,1
2,6,00062,00062,,1
2,6,0062A,0062A,,1
2,6,0062B,0062B,,1
2,6,00063,00063,,1
2,6,00064,00064,,1
2,6,00065,00065,,1
2,6,00066,00066,,1
2,6,00067,00067,,1
2,6,00068,00068,,1
2,6,00069,00069,,1
21,16,00180,00180,,1
21,17,0277A,0277A,,1
21,17,0277B,0277B,,1
21,17,00278,00278,,1
22,2,00023,00023,,1
21,22,00263,00263,,1
22,6,00066,00066,,1
22,25,00208,00208,,1
22,25,00209,00209,,1
22,10,00092,00092,,1
22,21,00181,00181,,1
24,2,00010,00010,,1
16,9,00042,00042,,1
16,6,00023,00023,,1
15,7,0027B,0027B,,1
15,12,00048,00048,,1
15,4,0016A,0016A,,1
14,16,00079,00079,,1
14,14,00070,00070,,1
14,9,00054,00054,,1
14,9,0054A,0054A,,1
13,16,00111,00111,,1
13,9,00076,00076,,1
4,23,00347,00347,,1
4,23,0347A,0347A,,1
12,6,0022A,0022A,,1
4,26,00372,00372,,1
4,25,00366,00366,,1
4,25,00368,00368,,1
4,25,00369,00369,,1
4,25,00370,00370,,1
4,26,0372A,0372A,,1
4,25,0360B,0360B,,1
4,25,00361,00361,,1
4,24,00359,00359,,1
4,24,00357,00357,,1
4,24,00358,00358,,1
4,25,00362,00362,,1
4,25,00363,00363,,1
4,26,00374,00374,,1
21,15,0360A,0360A,,1
2,107,0901A,0901A,,1
4,1,0009B,0009B,,1
4,1,0008B,0008B,,1
4,1,0008C,0008C,,1
2,74,0621A,0621A,,1
4,1,0009C,0009C,,1
4,1,0009F,0009F,,1
2,76,00641,00641,,1
4,9,00126,00126,,1
4,9,00129,00129,,1
